group_name,mean_cpu_time,mean_wait_time,mean_exec_time
c100_m_128,15622.125,57656.375,73278.5
c100_m_256,124588.5,785324.125,909912.625
c100_m_32,275.75,24290.625,24566.375
c100_m_64,1946.125,25045.5,26991.625
c25_m_128,15685.375,578118.375,593803.75
c25_m_256,124010.875,917482.625,1041493.5
c25_m_32,269.625,569681.125,569950.75
c25_m_64,1942.25,570375.875,572318.125
c50_m_128,15692.125,402391.0,418083.125
c50_m_256,124141.5,915362.375,1039503.875
c50_m_32,264.875,393926.75,394191.625
c50_m_64,1949.25,394611.5,396560.75
c75_m_128,15625.125,225633.0,241258.125
c75_m_256,124114.5,821142.125,945256.625
c75_m_32,268.875,217150.0,217418.875
c75_m_64,1951.0,217858.125,219809.125
