group_name,thread_number,cpu_time(us),wait_time(us),exec_time(us)
c100_m_32,0,283,75,358
c100_m_32,1,307,90,397
c100_m_32,2,272,68,340
c100_m_32,4,264,405,669
c100_m_32,5,259,382,641
c100_m_32,6,269,383,652
c100_m_64,8,1942,446,2388
c100_m_64,10,1936,236,2172
c100_m_64,9,2012,320,2332
c100_m_64,12,1929,1863,3792
c100_m_64,14,1927,1647,3574
c100_m_64,13,1962,1821,3783
c100_m_128,16,15568,2840,18408
c100_m_128,18,15542,1720,17262
c100_m_128,17,15602,2381,17983
c100_m_128,22,15673,16114,31787
c100_m_128,20,15635,15018,30653
c100_m_128,21,15686,15708,31394
c100_m_32,3,288,96374,96662
c100_m_32,7,264,96548,96812
c100_m_64,11,1934,96303,98237
c100_m_64,15,1927,97728,99655
c100_m_128,23,15597,110131,125728
c75_m_32,33,268,191913,192181
c75_m_32,32,265,191987,192252
c75_m_32,34,260,191935,192195
c75_m_32,36,307,192062,192369
c75_m_32,38,255,192071,192326
c75_m_32,37,270,192134,192404
c75_m_64,40,1937,192189,194126
c75_m_64,42,1933,191961,193894
c75_m_64,41,1988,192084,194072
c75_m_64,46,1964,193606,195570
c75_m_64,44,1938,193353,195291
c75_m_64,45,1986,193553,195539
c75_m_128,48,15598,193480,209078
c75_m_128,50,15564,194639,210203
c75_m_128,49,15678,194174,209852
c75_m_128,54,15609,206872,222481
c75_m_128,52,15733,207987,223720
c75_m_128,53,15688,207641,223329
c100_m_128,19,15674,297339,313013
c75_m_32,35,268,292475,292743
c75_m_32,39,258,292623,292881
c75_m_64,43,1933,292357,294290
c75_m_64,47,1929,293762,295691
c75_m_128,51,15565,293465,309030
c75_m_128,55,15566,306806,322372
c50_m_32,65,265,368850,369115
c50_m_32,64,260,368916,369176
c50_m_32,66,256,368877,369133
c50_m_32,68,258,369063,369321
c50_m_32,69,297,369000,369297
c50_m_32,70,253,369015,369268
c50_m_64,72,1935,369103,371038
c50_m_64,74,1927,368851,370778
c50_m_64,73,1975,369021,370996
c50_m_64,76,1934,370502,372436
c50_m_64,78,1925,370249,372174
c50_m_64,77,2013,370473,372486
c50_m_128,82,15591,370361,385952
c50_m_128,80,15720,371469,387189
c50_m_128,81,15778,371094,386872
c50_m_128,86,15646,384949,400595
c50_m_128,84,15727,383738,399465
c50_m_128,85,15942,384661,400603
c50_m_32,67,271,468771,469042
c50_m_32,71,259,468922,469181
c50_m_64,75,1941,468639,470580
c50_m_64,79,1944,470054,471998
c50_m_128,83,15571,469760,485331
c50_m_128,87,15562,483096,498658
c25_m_32,97,272,544609,544881
c25_m_32,96,276,544664,544940
c25_m_32,98,260,544621,544881
c25_m_32,100,255,544816,545071
c25_m_32,102,314,544763,545077
c25_m_32,101,264,544769,545033
c25_m_64,104,1941,544836,546777
c25_m_64,106,1930,544611,546541
c25_m_64,105,2005,544789,546794
c25_m_64,108,1936,546244,548180
c25_m_64,110,1929,546031,547960
c25_m_64,109,1937,546273,548210
c25_m_128,114,15580,546128,561708
c25_m_128,112,15686,547196,562882
c25_m_128,113,15773,546817,562590
c25_m_128,118,15653,559477,575130
c25_m_128,116,15725,560637,576362
c25_m_128,117,15882,560353,576235
c25_m_32,99,263,644528,644791
c25_m_32,103,253,644679,644932
c25_m_64,107,1930,644407,646337
c25_m_64,111,1930,645816,647746
c25_m_128,115,15599,645491,661090
c25_m_128,119,15585,658848,674433
c100_m_256,25,124535,726787,851322
c100_m_256,24,124680,728883,853563
c100_m_256,26,125862,724282,850144
c100_m_256,29,123775,797729,921504
c100_m_256,28,123872,799979,923851
c100_m_256,30,124284,795483,919767
c100_m_256,27,123813,817714,941527
c75_m_256,60,123708,798868,922576
c75_m_256,61,124245,796467,920712
c75_m_256,62,123796,794821,918617
c75_m_256,56,124062,812404,936466
c75_m_256,58,123753,809406,933159
c75_m_256,57,125509,810662,936171
c75_m_256,59,123849,852895,976744
c50_m_256,92,123726,851586,975312
c50_m_256,94,123941,846946,970887
c50_m_256,93,124517,849473,973990
c100_m_256,31,125887,891736,1017623
c75_m_256,63,123994,893614,1017608
c25_m_256,120,123883,896233,1020116
c25_m_256,122,123991,891930,1015921
c25_m_256,121,124490,895350,1019840
c25_m_256,124,124009,911154,1035163
c25_m_256,126,124036,907145,1031181
c25_m_256,125,124144,910983,1035127
c50_m_256,88,124040,956174,1080214
c50_m_256,90,124225,953208,1077433
c50_m_256,95,123902,944647,1068549
c50_m_256,89,124582,958575,1083157
c50_m_256,91,124199,962290,1086489
c25_m_256,127,123835,941994,1065829
c25_m_256,123,123699,985072,1108771
